date,user_id,picture_of_baby
09/05/2018,test_user_1@test.com,0
30/05/2018,test_user_1@test.com,1
23/05/2018,test_user_1@test.com,1
06/02/2018,test_user_1@test.com,0
25/04/2018,test_user_1@test.com,0
02/05/2018,test_user_1@test.com,0
18/07/2018,test_user_1@test.com,1
20/04/2018,test_user_1@test.com,1
04/05/2018,test_user_1@test.com,0
29/01/2018,test_user_1@test.com,0
25/01/2018,test_user_1@test.com,0
18/03/2018,test_user_1@test.com,0
10/07/2018,test_user_1@test.com,0
06/03/2018,test_user_1@test.com,0
18/02/2018,test_user_1@test.com,1
26/03/2018,test_user_1@test.com,1
20/02/2018,test_user_1@test.com,0
24/04/2018,test_user_1@test.com,0
30/07/2018,test_user_1@test.com,0
31/01/2018,test_user_1@test.com,1
04/05/2018,test_user_1@test.com,0
08/01/2018,test_user_1@test.com,0
03/05/2018,test_user_1@test.com,1
18/04/2018,test_user_1@test.com,1
03/07/2018,test_user_1@test.com,0
10/05/2018,test_user_1@test.com,0
06/06/2018,test_user_1@test.com,0
31/05/2018,test_user_1@test.com,0
23/07/2018,test_user_1@test.com,1
16/04/2018,test_user_1@test.com,1
08/01/2018,test_user_2@test.com,0
29/04/2018,test_user_2@test.com,0
06/07/2018,test_user_2@test.com,1
25/06/2018,test_user_2@test.com,0
13/03/2018,test_user_2@test.com,0
15/07/2018,test_user_2@test.com,0
18/01/2018,test_user_2@test.com,0
28/06/2018,test_user_2@test.com,1
06/01/2018,test_user_2@test.com,1
14/04/2018,test_user_2@test.com,0
05/05/2018,test_user_2@test.com,1
26/01/2018,test_user_2@test.com,1
18/06/2018,test_user_2@test.com,1
05/02/2018,test_user_2@test.com,0
27/01/2018,test_user_2@test.com,0
01/02/2018,test_user_2@test.com,1
15/05/2018,test_user_2@test.com,1
23/06/2018,test_user_2@test.com,0
27/03/2018,test_user_2@test.com,0
27/06/2018,test_user_2@test.com,0
07/03/2018,test_user_2@test.com,1
17/01/2018,test_user_2@test.com,1
