date,user_id,at_gym
09/02/2018,test_user_1@test.com,1
28/02/2018,test_user_1@test.com,1
20/04/2018,test_user_1@test.com,1
12/04/2018,test_user_1@test.com,1
25/06/2018,test_user_1@test.com,1
19/06/2018,test_user_1@test.com,1
09/05/2018,test_user_1@test.com,1
03/07/2018,test_user_1@test.com,1
16/03/2018,test_user_1@test.com,1
06/01/2018,test_user_2@test.com,1
02/04/2018,test_user_2@test.com,1
08/03/2018,test_user_3@test.com,1
09/02/2018,test_user_3@test.com,1
17/01/2018,test_user_3@test.com,1
23/04/2018,test_user_3@test.com,1
01/04/2018,test_user_3@test.com,1
22/03/2018,test_user_3@test.com,1
10/06/2018,test_user_3@test.com,1
18/03/2018,test_user_4@test.com,1
23/04/2018,test_user_4@test.com,1
24/01/2018,test_user_4@test.com,1
14/04/2018,test_user_4@test.com,1
04/01/2018,test_user_4@test.com,1
18/01/2018,test_user_4@test.com,1
04/03/2018,test_user_4@test.com,1
19/05/2018,test_user_4@test.com,1
16/07/2018,test_user_5@test.com,1
